Data e Ora;Pressione;DirVento;VelVento;Umidita';Pioggia;Radiazione
04-06-17 11:59;1012.4;69;4.8;76;0;487
04-06-17 12:14;1012.4;62;3.2;75;0;204
04-06-17 12:29;1012.4;298;1.6;76;0;1320
04-06-17 12:44;1012.1;65;3.2;73;0;805
04-06-17 12:59;1012.1;333;4.8;72;0;385
04-06-17 13:14;1012.1;321;4.8;73;0;355
04-06-17 13:29;1012.1;344;3.2;75;0.3;359
04-06-17 13:44;1012.1;326;3.2;76;0.3;279
04-06-17 13:59;1012.1;307;4.8;77;0.3;278
04-06-17 14:14;1011.7;62;3.2;75;0.3;320
04-06-17 14:29;1011.7;310;3.2;75;0;439
04-06-17 14:44;1011.7;61;6.4;70;0;1246
04-06-17 14:59;1011.7;94;9.7;69;0;408
04-06-17 15:14;1011.7;86;8;69;0;264
04-06-17 15:44;1011.7;70;8;77;0;197
04-06-17 15:59;1011.7;75;6.4;82;0;111
04-06-17 16:14;1011.7;67;4.8;84;0;179
04-06-17 16:29;1011.7;74;4.8;84;0;162
04-06-17 16:44;1012.1;81;4.8;83;0;190
04-06-17 16:59;1011.7;48;4.8;83;0.3;93
04-06-17 17:14;1012.1;47;1.6;83;0.3;70
04-06-17 17:29;1012.4;69;3.2;83;0.3;51
04-06-17 17:44;1012.1;74;3.2;84;0.3;39
04-06-17 17:59;1012.1;82;3.2;85;0;35
04-06-17 18:29;1012.4;304;4.8;88;0.3;0
04-06-17 18:44;1012.8;271;8;87;4.1;0
04-06-17 18:59;1012.8;286;6.4;88;8.1;23
04-06-17 19:29;1013.1;311;3.2;91;13.5;9
04-06-17 19:59;1012.8;270;4.8;92;6.1;116
04-06-17 20:14;1012.8;323;3.2;92;2.3;44
04-06-17 20:29;1012.8;0;0;92;0.5;28
04-06-17 20:44;1012.8;0;0;92;0.5;18
04-06-17 20:59;1012.8;84;1.6;92;0;7
04-06-17 21:14;1012.8;106;1.6;92;0;0
04-06-17 21:29;1013.1;106;1.6;92;0;0
04-06-17 21:44;1013.1;106;1.6;92;0;0
04-06-17 21:59;1013.1;0;0;92;0;0
04-06-17 22:14;1013.4;0;0;92;0;0
04-06-17 22:29;1013.4;253;3.2;92;0;0
04-06-17 22:44;1013.8;252;1.6;92;0;0
04-06-17 22:59;1013.8;261;1.6;92;0;0
04-06-17 23:14;1013.8;269;3.2;92;0;0
04-06-17 23:29;1013.8;260;1.6;92;0;0
04-06-17 23:44;1013.8;245;1.6;91;0;0
04-06-17 23:59;1014.1;245;0;91;0;0
